"Ranch2","Block","Variety","Treatment","pctNOW","pctTwigborer","Year","pctTotReject"
3440,"24-1","FR","C",1.016088061,0,2006,NA
3440,"24-1","FR","C",2.276295133,0,2006,NA
3440,"24-1","FR","C",1.621621622,0,2006,NA
3440,"24-1","FR","C",1.888574127,0,2006,NA
3440,"24-2","FR","C",1.857585139,0,2006,NA
3440,"24-2","FR","C",0.949094047,0,2006,NA
3440,"24-2","FR","C",2.591463415,0,2006,NA
3440,"24-2","FR","C",1.907894737,0,2006,NA
3440,"24-3","FR","C",1.35301353,0,2006,NA
3440,"24-3","FR","C",1.982378855,0.073421439,2006,NA
3440,"24-3","FR","C",2.62295082,0,2006,NA
3440,"24-4","FR","C",0.503959683,0,2006,NA
3440,"24-4","FR","C",1.569311247,0,2006,NA
3440,"24-4","FR","C",0.65199674,0,2006,NA
3440,"24-4","FR","C",1.285347044,0,2006,NA
3440,"24-1","MO","C",2.10454854,0,2006,NA
3440,"24-1","MO","C",2.550091075,0,2006,NA
3440,"24-1","MO","C",2.188006483,0,2006,NA
3440,"24-1","MO","C",2.01793722,0.074738416,2006,NA
3440,"24-2","MO","C",1.936619718,0,2006,NA
3440,"24-2","MO","C",2.497985496,0,2006,NA
3440,"24-2","MO","C",2.427564605,0,2006,NA
3440,"24-2","MO","C",2.272727273,0,2006,NA
3440,"24-3","MO","C",4.725609756,0,2006,NA
3440,"24-3","MO","C",2.649507949,0,2006,NA
3440,"24-3","MO","C",1.438848921,0,2006,NA
3440,"24-4","MO","C",1.5625,0,2006,NA
3440,"24-4","MO","C",1.378122308,0,2006,NA
3440,"24-4","MO","C",2.088167053,0,2006,NA
3440,"24-4","MO","C",2.276559865,0,2006,NA
3440,"24-1","NP","C",0.475543478,0.407608696,2006,NA
3440,"24-1","NP","C",0.396039604,0.132013201,2006,NA
3440,"24-1","NP","C",0.435413643,0.217706821,2006,NA
3440,"24-1","NP","C",0.267916946,0.066979236,2006,NA
3440,"24-2","NP","C",1.267427123,0.380228137,2006,NA
3440,"24-2","NP","C",0.860357379,0.066181337,2006,NA
3440,"24-2","NP","C",0.376647834,0.188323917,2006,NA
3440,"24-2","NP","C",0.463883366,0.132538105,2006,NA
3440,"24-3","NP","C",0.063938619,0,2006,NA
3440,"24-3","NP","C",0.591397849,0,2006,NA
3440,"24-3","NP","C",0.348229832,0,2006,NA
3440,"24-4","NP","C",0.670690812,0.268276325,2006,NA
3440,"24-4","NP","C",0.123304562,0.184956843,2006,NA
3440,"24-4","NP","C",0.236826525,0.059206631,2006,NA
3440,"24-4","NP","C",0.351123596,0.070224719,2006,NA
3450,"11_4","CA","CMD",0.488485694,0,2006,NA
3450,"11_4","CA","CMD",0.569259962,0,2006,NA
3450,"11_4","CA","CMD",0.083333333,0,2006,NA
3450,"11_4","CA","CMD",0.130890052,0,2006,NA
3450,"12_3","CA","CMD",0.733333333,0,2006,NA
3450,"12_3","CA","CMD",0.64061499,0,2006,NA
3450,"12_3","CA","CMD",0.061312078,0,2006,NA
3450,"12_3","CA","CMD",0.700116686,0,2006,NA
3450,"12_4","CA","CMD",0.092721372,0,2006,NA
3450,"12_4","CA","CMD",0,0,2006,NA
3450,"12_4","CA","CMD",0,0,2006,NA
3450,"12_4","CA","CMD",0.045248869,0,2006,NA
3450,"1_2","FR","MD",0.445103858,0,2006,NA
3450,"1_2","FR","MD",2.716049383,0.308641975,2006,NA
3450,"1_2","FR","MD",1.426718547,0,2006,NA
3450,"1_2","FR","MD",0.650618087,0,2006,NA
3450,"2_1","FR","MD",2.545155993,0,2006,NA
3450,"2_1","FR","MD",1.121656601,0,2006,NA
3450,"2_1","FR","MD",1.323529412,0,2006,NA
3450,"2_1","FR","MD",1.879084967,0,2006,NA
3450,"2_2","FR","MD",1.518438178,0,2006,NA
3450,"2_2","FR","MD",1.819454164,0,2006,NA
3450,"11_1","FR","MD",3.948896632,0,2006,NA
3450,"1_2","MO","MD",0.157604413,0,2006,NA
3450,"1_2","MO","MD",0.067888663,0,2006,NA
3450,"1_2","MO","MD",0.406173842,0,2006,NA
3450,"1_2","MO","MD",0.489168414,0,2006,NA
3450,"1_3","MO","CMD",0.258843831,0,2006,NA
3450,"1_3","MO","CMD",0.645682002,0,2006,NA
3450,"1_3","MO","CMD",0.19193858,0,2006,NA
3450,"1_3","MO","CMD",0,0,2006,NA
3450,"2_1","MO","MD",0.54517134,0,2006,NA
3450,"2_1","MO","MD",0.085470085,0,2006,NA
3450,"2_1","MO","MD",9.046052632,0,2006,NA
3450,"2_1","MO","MD",0.165289256,0,2006,NA
3450,"2_2","MO","MD",0.081037277,0,2006,NA
3450,"2_2","MO","MD",0.066666667,0,2006,NA
3450,"2_3","MO","CMD",0.433839479,0,2006,NA
3450,"2_3","MO","CMD",0.462962963,0,2006,NA
3450,"2_4","MO","CMD",1.810865191,0,2006,NA
3450,"2_4","MO","CMD",0.097560976,0,2006,NA
3450,"2_4","MO","CMD",0.987654321,0,2006,NA
3450,"2_4","MO","CMD",0.803673938,0,2006,NA
3450,"11_1","MO","MD",1.421800948,0,2006,NA
3450,"11_1","MO","MD",2.622576967,0,2006,NA
3450,"11_1","MO","MD",2.657004831,0,2006,NA
3450,"11_1","MO","MD",3.944315545,0,2006,NA
3450,"11_2","MO","MD",3.553719008,0,2006,NA
3450,"11_2","MO","MD",3.267973856,0,2006,NA
3450,"11_4","MO","CMD",0.144508671,0,2006,NA
3450,"11_4","MO","CMD",1.549680948,0,2006,NA
3450,"11_4","MO","CMD",0.074019245,0,2006,NA
3450,"11_4","MO","CMD",1.552511416,0,2006,NA
3450,"12_1","MO","MD",0,0,2006,NA
3450,"12_1","MO","MD",0.423429781,0,2006,NA
3450,"12_2","MO","MD",1.223581758,0,2006,NA
3450,"12_2","MO","MD",0.445434298,0,2006,NA
3450,"12_2","MO","MD",0.517687662,0,2006,NA
3450,"12_2","MO","MD",0.568643379,0,2006,NA
3450,"12_3","MO","CMD",0.468384075,0,2006,NA
3450,"12_3","MO","CMD",0.873362445,0,2006,NA
3450,"12_3","MO","CMD",0.231839258,0,2006,NA
3450,"12_3","MO","CMD",2.270663034,0,2006,NA
3450,"12_4","MO","CMD",0.729166667,0,2006,NA
3450,"12_4","MO","CMD",0.078369906,0,2006,NA
3450,"12_4","MO","CMD",0.155400155,0,2006,NA
3450,"12_4","MO","CMD",0.806451613,0,2006,NA
3450,"1_2","NP","MD",0.170648464,1.478953356,2006,NA
3450,"1_2","NP","MD",0.470588235,0.352941176,2006,NA
3450,"1_2","NP","MD",0.178890877,1.311866428,2006,NA
3450,"1_2","NP","MD",0.965909091,0.681818182,2006,NA
3450,"1_3","NP","CMD",0.058754407,0.058754407,2006,NA
3450,"1_3","NP","CMD",0.282167043,0,2006,NA
3450,"1_3","NP","CMD",0.274725275,0.054945055,2006,NA
3450,"1_3","NP","CMD",0.054764513,0.328587076,2006,NA
3450,"2_1","NP","MD",0.167504188,1.730876605,2006,NA
3450,"2_1","NP","MD",0.472533963,0.826934436,2006,NA
3450,"2_1","NP","MD",0.742115028,0,2006,NA
3450,"2_1","NP","MD",0.488698839,0.061087355,2006,NA
3450,"2_2","NP","MD",0.056338028,0.732394366,2006,NA
3450,"2_2","NP","MD",0,1.757469244,2006,NA
3450,"2_3","NP","CMD",0.116686114,0,2006,NA
3450,"2_3","NP","CMD",0.159489633,0,2006,NA
3450,"2_4","NP","CMD",0.263331139,0,2006,NA
3450,"2_4","NP","CMD",0.060132291,0.240529164,2006,NA
3450,"2_4","NP","CMD",0.065487885,0,2006,NA
3450,"2_4","NP","CMD",0.427046263,0.142348754,2006,NA
3450,"11_1","NP","MD",0.502873563,0.215517241,2006,NA
3450,"11_1","NP","MD",0.237953599,0,2006,NA
3450,"11_1","NP","MD",0,0.141242938,2006,NA
3450,"11_1","NP","MD",0,0.073260073,2006,NA
3450,"11_2","NP","MD",0.070224719,0.210674157,2006,NA
3450,"11_2","NP","MD",0.34270048,0.034270048,2006,NA
3450,"11_4","NP","CMD",0.190597205,0,2006,NA
3450,"11_4","NP","CMD",0,0.060753341,2006,NA
3450,"11_4","NP","CMD",0.137080192,0,2006,NA
3450,"11_4","NP","CMD",0.055157198,0,2006,NA
3450,"12_1","NP","MD",0.176366843,0.705467372,2006,NA
3450,"12_1","NP","MD",0.313676286,0.062735257,2006,NA
3450,"12_2","NP","MD",0.117924528,0.589622642,2006,NA
3450,"12_2","NP","MD",0.165745856,0.44198895,2006,NA
3450,"12_2","NP","MD",0.063211125,0.695322377,2006,NA
3450,"12_2","NP","MD",0.113700966,0.113700966,2006,NA
3450,"12_3","NP","CMD",0.235849057,0,2006,NA
3450,"12_3","NP","CMD",0.057803468,0.404624277,2006,NA
3450,"12_3","NP","CMD",0,0.359496705,2006,NA
3450,"12_3","NP","CMD",0.113378685,0,2006,NA
3450,"12_4","NP","CMD",0.059241706,0.177725118,2006,NA
3450,"12_4","NP","CMD",0.442722745,0.276701716,2006,NA
3450,"12_4","NP","CMD",0.116211505,0.290528762,2006,NA
3450,"12_4","NP","CMD",0.125156446,0.375469337,2006,NA
3450,"11_1","PR","MD",0.291332848,0.145666424,2006,NA
3450,"11_1","PR","MD",1.047542305,0.241740532,2006,NA
3450,"11_1","PR","MD",0.257566001,0,2006,NA
3450,"11_1","PR","MD",1.910219675,0.095510984,2006,NA
3450,"11_2","PR","MD",2.567027952,0.057045066,2006,NA
3450,"11_2","PR","MD",1.32412205,0,2006,NA
3450,"12_1","PR","MD",0.152555301,0.076277651,2006,NA
3450,"12_1","PR","MD",0.154679041,0,2006,NA
3450,"12_2","PR","MD",0.061766523,0,2006,NA
3450,"12_2","PR","MD",0.055463117,0,2006,NA
3450,"12_2","PR","MD",0,0,2006,NA
3450,"12_2","PR","MD",0.409836066,0,2006,NA
3450,"1_3","WD","CMD",0.067980965,0,2006,NA
3450,"1_3","WD","CMD",0,0,2006,NA
3450,"1_3","WD","CMD",0.193548387,0,2006,NA
3450,"1_3","WD","CMD",0.201748487,0,2006,NA
3450,"2_3","WD","CMD",0.362537764,0,2006,NA
