"Year","Tier","treatment","dmg_now","tot_nuts","disp_dens","insecticide","pctNOW"
2008,1,"2MD",77,6797,2,"No",1.13285272914521
2008,2,"2CMD",10,6742,2,"Yes",0.148323939483833
2008,3,"1MD",105,12228,1,"No",0.858684985279686
2008,4,"1CMD",57,12331,1,"Yes",0.462249614791988
2008,5,"1MD",303,5706,1,"No",5.31019978969506
2008,6,"1CMD",170,8800,1,"Yes",1.93181818181818
2008,7,"2MD",116,5338,2,"No",2.17309853877857
2008,8,"2CMD",52,5352,2,"Yes",0.971599402092676
2009,1,"1CMD",15,4842,1,"Yes",0.309789343246592
2009,2,"1MD",44,5708,1,"No",0.770847932725999
2009,3,"2CMD",13,5846,2,"Yes",0.222374273007184
2009,4,"2MD",34,5069,2,"No",0.670743736437167
2009,5,"2CMD",18,5628,2,"Yes",0.319829424307036
2009,6,"2MD",52,5976,2,"No",0.870147255689424
2009,7,"1CMD",32,3466,1,"Yes",0.923254472013849
2009,8,"1MD",100,3199,1,"No",3.12597686777118
2010,3,"2MD",63,5200,2,"No",1.21153846153846
2010,4,"2CMD",8,5746,2,"Yes",0.139227288548556
2010,5,"1MD",20,5075,1,"No",0.394088669950739
2010,6,"1CMD",20,4982,1,"Yes",0.401445202729827
2010,7,"1MD",6,3276,1,"No",0.183150183150183
2010,8,"1CMD",12,3683,1,"Yes",0.325821341297855
2010,9,"2MD",8,4762,2,"No",0.167996640067199
2010,10,"2CMD",14,4699,2,"Yes",0.297935731006597
2011,3,"1CMD",16,5475,1,"Yes",0.292237442922374
2011,4,"1MD",20,5123,1,"No",0.390396252195979
2011,5,"2CMD",14,5325,2,"Yes",0.262910798122066
2011,6,"2MD",20,5271,2,"No",0.37943464238285
2011,7,"2CMD",9,3234,2,"Yes",0.278293135435993
2011,8,"2MD",30,3525,2,"No",0.851063829787234
2011,9,"1CMD",25,4916,1,"Yes",0.508543531326281
2011,10,"1MD",110,4759,1,"No",2.31140996007565
