"date","type","plot","treatment","variety","ranch","block","position","tot_nuts","inf_now","dmg_now","sample_id"
2006-08-12,"MD","Interior","MD","NP",345,2.2,"A1",523,0,0,NA
2006-08-12,"MD","Edge","MD","NP",345,2.2,"E1",524,0,0,NA
2006-08-12,"MD","Interior","MD","NP",345,2.1,"A2",598,4,4,NA
2006-08-12,"MD","Edge","MD","NP",345,2.1,"E2",650,1,1,NA
2006-08-21,"MD","Interior","MD","NP",345,1.2,"A3",600,4,4,NA
2006-08-21,"MD","Edge","MD","NP",345,1.2,"E3",508,4,4,NA
2006-08-21,"MD","Interior","MD","NP",345,1.2,"A4",663,3,3,NA
2006-08-21,"MD","Edge","MD","NP",345,1.2,"E4",515,4,4,NA
2006-08-21,"MD","Interior","CMD","NP",345,1.3,"A5",510,1,1,NA
2006-08-21,"MD","Edge","CMD","NP",345,1.3,"E5",608,0,0,NA
2006-08-21,"MD","Interior","MD","NP",345,12.1,"A6",667,1,1,NA
2006-08-21,"MD","Edge","MD","NP",345,12.1,"E6",471,3,3,NA
2006-08-21,"MD","Interior","MD","NP",345,12.1,"A7",504,1,1,NA
2006-08-21,"MD","Edge","MD","NP",345,12.1,"E7",694,4,4,NA
2006-08-21,"MD","Interior","CMD","NP",345,12.4,"A8",664,1,1,NA
2006-08-21,"MD","Edge","CMD","NP",345,12.4,"E8",700,1,1,NA
2006-08-21,"MD","Interior","CMD","NP",345,12.4,"A9",727,1,1,NA
2006-08-21,"MD","Edge","CMD","NP",345,12.4,"E9",681,1,1,NA
2006-08-21,"MD","Interior","CMD","NP",345,12.4,"A10",765,1,1,NA
2006-08-21,"MD","Edge","CMD","NP",345,12.4,"E10",592,5,5,NA
2006-08-21,"MD","Interior","CMD","NP",345,12.3,"A11",662,1,1,NA
2006-08-21,"MD","Edge","CMD","NP",345,12.3,"E11",649,2,2,NA
2006-08-12,"MD","Interior","CMD","NP",345,11.3,"A12",675,1,1,NA
2006-08-12,"MD","Edge","CMD","NP",345,11.3,"E12",675,5,4,NA
2006-08-12,"MD","Interior","CMD","NP",345,11.3,"A13",666,2,2,NA
2006-08-12,"MD","Edge","CMD","NP",345,11.3,"E13",646,4,4,NA
2006-08-12,"MD","Interior","MD","NP",345,11.2,"A14",551,1,1,NA
2006-08-12,"MD","Edge","MD","NP",345,11.2,"E14",512,7,6,NA
2006-08-12,"MD","Interior","CMD","NP",345,2.3,"A15",542,3,3,NA
2006-08-12,"MD","Edge","CMD","NP",345,2.3,"E15",556,2,2,NA
2006-08-12,"MD","Interior","MD","NP",345,2.2,"A16",506,2,1,NA
2006-08-12,"MD","Edge","MD","NP",345,2.2,"E16",527,3,3,NA
2006-08-12,"MD","Interior","CMD","NP",345,2.4,"A17",611,0,0,NA
2006-08-12,"MD","Interior","MD","NP",345,11.1,"A18",610,2,2,NA
2006-08-21,"MD","Interior","MD","NP",345,12.2,"A19",665,3,3,NA
2006-08-21,"Conv","Interior","C","NP",344,24.2,"A1",746,17,17,NA
2006-08-21,"Conv","Edge","C","NP",344,24.2,"E1",567,11,11,NA
2006-08-21,"Conv","Interior","C","NP",344,24.1,"A2",568,5,4,NA
2006-08-21,"Conv","Edge","C","NP",344,24.1,"E2",586,7,7,NA
2006-08-21,"Conv","Interior","C","NP",344,24.1,"A3",553,9,9,NA
2006-08-24,"Conv","Edge","C","NP",344,24.1,"E3",555,10,10,NA
2006-08-24,"Conv","Interior","C","NP",344,24.4,"A4",638,8,8,NA
2006-08-24,"Conv","Edge","C","NP",344,24.4,"E4",560,11,11,NA
2006-08-24,"Conv","Interior","C","NP",344,24.4,"A5",638,3,3,NA
2006-08-24,"Conv","Edge","C","NP",344,24.4,"E5",610,7,6,NA
2006-08-24,"Conv","Interior","C","NP",344,24.3,"A6",505,3,3,NA
2006-08-24,"Conv","Edge","C","NP",344,24.3,"E6",553,10,10,NA
2006-08-24,"Conv","Interior","C","NP",344,24.3,"A7",704,8,8,NA
2006-08-24,"Conv","Edge","C","NP",344,24.3,"E7",685,18,18,NA
2006-08-24,"Conv","Interior","C","NP",344,24.2,"A8",816,25,25,NA
2006-08-24,"Conv","Edge","C","NP",344,24.2,"E8",759,5,5,NA
2006-08-24,"Conv","Interior","C","NP",344,24.2,"A9",646,16,16,NA
2006-08-24,"Conv","Edge","C","NP",344,24.2,"E9",802,16,16,NA
2006-08-24,"Conv","Interior","C","NP",346,30.1,"A1",927,2,2,NA
2006-08-24,"Conv","Edge","C","NP",346,30.1,"E1",494,4,4,NA
2006-08-24,"Conv","Interior","C","NP",346,30.1,"A2",677,4,4,NA
2006-08-24,"Conv","Edge","C","NP",346,30.1,"E2",631,2,2,NA
2006-08-24,"Conv","Interior","C","NP",346,30.4,"A3",677,2,2,NA
2006-08-24,"Conv","Edge","C","NP",346,30.4,"E3",669,16,16,NA
2006-08-24,"Conv","Interior","C","NP",346,30.4,"A4",525,4,4,NA
2006-08-24,"Conv","Edge","C","NP",346,30.4,"E4",612,20,20,NA
2006-08-24,"Conv","Interior","C","NP",346,30.3,"A5",641,9,9,NA
2006-08-24,"Conv","Edge","C","NP",346,30.3,"E5",750,9,8,NA
2006-08-24,"Conv","Interior","C","NP",346,25.4,"A6",564,4,4,NA
2006-08-24,"Conv","Edge","C","NP",346,25.4,"E6",540,3,3,NA
2006-08-24,"Conv","Interior","C","NP",346,25.4,"A7",618,14,13,NA
2006-08-24,"Conv","Edge","C","NP",346,25.4,"E7",525,6,6,NA
