"Year","Tier","treatment","dmg_now","tot_nuts","pctNOW"
2006,1,"MD",159,9046,1.75768295379173
2006,2,"CMD",30,5779,0.519120955182558
2006,3,"MD",138,9133,1.51100405124275
2006,4,"CMD",56,12660,0.442338072669826
2006,7,"C",267,10172,2.62485253637436
2006,8,"C",127,10230,1.24144672531769
2006,9,"C",31,4218,0.734945471787577
2006,10,"C",148,8996,1.64517563361494
2007,1,"MD",57,7481,0.761930223232188
2007,2,"CMD",7,6992,0.100114416475973
2007,3,"MD",29,7231,0.401051030286267
2007,4,"C",30,6012,0.499001996007984
2007,7,"C",46,10071,0.456757025121636
2007,8,"C",79,10516,0.751236211487257
2007,9,"C",12,4234,0.283419933868682
2007,10,"C",131,12753,1.02720928409002
