"station","date","air_min","air_max","degree_days","accumulated_dd","x","x1","yr","julian"
"LOST_HILLS.A",2005-01-01,37,57,0.27,0.27,NA,NA,2005,1
"LOST_HILLS.A",2005-01-02,44,54,0,0.27,NA,NA,2005,2
"LOST_HILLS.A",2005-01-03,43,53,0,0.27,NA,NA,2005,3
"LOST_HILLS.A",2005-01-04,40,54,0,0.27,NA,NA,2005,4
"LOST_HILLS.A",2005-01-05,34,56,0.09,0.36,NA,NA,2005,5
"LOST_HILLS.A",2005-01-06,39,51,0,0.36,NA,NA,2005,6
"LOST_HILLS.A",2005-01-07,42,63,2.19,2.55,NA,NA,2005,7
"LOST_HILLS.A",2005-01-08,50,63,2.87,5.42,NA,NA,2005,8
"LOST_HILLS.A",2005-01-09,51,66,4.4,9.83,NA,NA,2005,9
"LOST_HILLS.A",2005-01-10,50,66,4.23,14.05,NA,NA,2005,10
"LOST_HILLS.A",2005-01-11,44,58,0.6,14.66,NA,NA,2005,11
"LOST_HILLS.A",2005-01-12,37,46,0,14.66,NA,NA,2005,12
"LOST_HILLS.A",2005-01-13,37,45,0,14.66,NA,NA,2005,13
"LOST_HILLS.A",2005-01-14,43,48,0,14.66,NA,NA,2005,14
"LOST_HILLS.A",2005-01-15,41,51,0,14.66,NA,NA,2005,15
"LOST_HILLS.A",2005-01-16,42,44,0,14.66,NA,NA,2005,16
"LOST_HILLS.A",2005-01-17,41,45,0,14.66,NA,NA,2005,17
"LOST_HILLS.A",2005-01-18,42,47,0,14.66,NA,NA,2005,18
"LOST_HILLS.A",2005-01-19,41,48,0,14.66,NA,NA,2005,19
"LOST_HILLS.A",2005-01-20,41,46,0,14.66,NA,NA,2005,20
"LOST_HILLS.A",2005-01-21,43,47,0,14.66,NA,NA,2005,21
"LOST_HILLS.A",2005-01-22,43,47,0,14.66,NA,NA,2005,22
"LOST_HILLS.A",2005-01-23,43,49,0,14.66,NA,NA,2005,23
"LOST_HILLS.A",2005-01-24,44,54,0,14.66,NA,NA,2005,24
"LOST_HILLS.A",2005-01-25,43,64,2.63,17.28,NA,NA,2005,25
"LOST_HILLS.A",2005-01-26,47,65,3.38,20.67,NA,NA,2005,26
"LOST_HILLS.A",2005-01-27,39,59,0.78,21.44,NA,NA,2005,27
"LOST_HILLS.A",2005-01-28,44,58,0.6,22.04,NA,NA,2005,28
"LOST_HILLS.A",2005-01-29,41,53,0,22.04,NA,NA,2005,29
"LOST_HILLS.A",2005-01-30,37,57,0.27,22.32,NA,NA,2005,30
"LOST_HILLS.A",2005-01-31,35,58,0.47,22.78,NA,NA,2005,31
"LOST_HILLS.A",2005-02-01,35,60,0.97,23.75,NA,NA,2005,32
"LOST_HILLS.A",2005-02-02,37,65,2.64,26.39,NA,NA,2005,33
"LOST_HILLS.A",2005-02-03,37,63,1.95,28.34,NA,NA,2005,34
"LOST_HILLS.A",2005-02-04,40,68,3.97,32.31,NA,NA,2005,35
"LOST_HILLS.A",2005-02-05,44,63,2.31,34.62,NA,NA,2005,36
"LOST_HILLS.A",2005-02-06,47,60,1.37,35.99,NA,NA,2005,37
"LOST_HILLS.A",2005-02-07,41,60,1.12,37.11,NA,NA,2005,38
"LOST_HILLS.A",2005-02-08,41,60,1.12,38.23,NA,NA,2005,39
"LOST_HILLS.A",2005-02-09,42,62,1.83,40.06,NA,NA,2005,40
"LOST_HILLS.A",2005-02-10,42,61,1.48,41.54,NA,NA,2005,41
"LOST_HILLS.A",2005-02-11,50,62,2.44,43.98,NA,NA,2005,42
"LOST_HILLS.A",2005-02-12,51,65,3.94,47.91,NA,NA,2005,43
"LOST_HILLS.A",2005-02-13,45,64,2.78,50.69,NA,NA,2005,44
"LOST_HILLS.A",2005-02-14,51,64,3.47,54.17,NA,NA,2005,45
"LOST_HILLS.A",2005-02-15,48,59,1.07,55.23,NA,NA,2005,46
"LOST_HILLS.A",2005-02-16,52,64,3.65,58.89,NA,NA,2005,47
"LOST_HILLS.A",2005-02-17,47,57,0.39,59.27,NA,NA,2005,48
"LOST_HILLS.A",2005-02-18,50,62,2.44,61.71,NA,NA,2005,49
"LOST_HILLS.A",2005-02-19,49,66,4.07,65.78,NA,NA,2005,50
"LOST_HILLS.A",2005-02-20,50,63,2.87,68.66,NA,NA,2005,51
"LOST_HILLS.A",2005-02-21,48,67,4.38,73.04,NA,NA,2005,52
"LOST_HILLS.A",2005-02-22,45,60,1.27,74.31,NA,NA,2005,53
"LOST_HILLS.A",2005-02-23,44,67,3.91,78.22,NA,NA,2005,54
"LOST_HILLS.A",2005-02-24,47,64,2.96,81.18,NA,NA,2005,55
"LOST_HILLS.A",2005-02-25,44,61,1.57,82.76,NA,NA,2005,56
"LOST_HILLS.A",2005-02-26,44,64,2.7,85.46,NA,NA,2005,57
"LOST_HILLS.A",2005-02-27,46,68,4.56,90.02,NA,NA,2005,58
"LOST_HILLS.A",2005-02-28,48,64,3.07,93.08,NA,NA,2005,59
"LOST_HILLS.A",2005-03-01,45,63,2.38,95.46,NA,NA,2005,60
"LOST_HILLS.A",2005-03-02,44,61,1.57,97.04,NA,NA,2005,61
"LOST_HILLS.A",2005-03-03,47,67,4.25,101.28,NA,NA,2005,62
"LOST_HILLS.A",2005-03-04,51,65,3.94,105.22,NA,NA,2005,63
"LOST_HILLS.A",2005-03-05,47,64,2.96,108.18,NA,NA,2005,64
"LOST_HILLS.A",2005-03-06,43,68,4.23,112.41,NA,NA,2005,65
"LOST_HILLS.A",2005-03-07,44,72,6.06,118.47,NA,NA,2005,66
"LOST_HILLS.A",2005-03-08,47,72,6.49,124.96,NA,NA,2005,67
"LOST_HILLS.A",2005-03-09,48,78,9.47,134.43,"2","2",2005,68
"LOST_HILLS.A",2005-03-10,52,74,8.48,142.91,NA,NA,2005,69
"LOST_HILLS.A",2005-03-11,51,77,9.68,152.59,NA,NA,2005,70
"LOST_HILLS.A",2005-03-12,52,81,11.91,164.5,NA,NA,2005,71
"LOST_HILLS.A",2005-03-13,54,67,5.62,170.12,NA,NA,2005,72
"LOST_HILLS.A",2005-03-14,50,69,5.62,175.74,NA,NA,2005,73
"LOST_HILLS.A",2005-03-15,44,75,7.39,183.13,NA,NA,2005,74
"LOST_HILLS.A",2005-03-16,40,73,6.02,189.16,NA,NA,2005,75
"LOST_HILLS.A",2005-03-17,43,67,3.82,192.98,NA,NA,2005,76
"LOST_HILLS.A",2005-03-18,51,60,1.69,194.67,NA,NA,2005,77
"LOST_HILLS.A",2005-03-19,49,68,4.98,199.65,"2","2",2005,78
"LOST_HILLS.A",2005-03-20,45,67,4.02,203.66,NA,NA,2005,79
"LOST_HILLS.A",2005-03-21,46,68,4.56,208.22,NA,NA,2005,80
"LOST_HILLS.A",2005-03-22,44,70,5.19,213.41,NA,NA,2005,81
"LOST_HILLS.A",2005-03-23,43,63,2.25,215.66,NA,NA,2005,82
"LOST_HILLS.A",2005-03-24,47,63,2.55,218.2,NA,NA,2005,83
"LOST_HILLS.A",2005-03-25,43,65,3.02,221.22,NA,NA,2005,84
"LOST_HILLS.A",2005-03-26,41,67,3.65,224.87,NA,NA,2005,85
"LOST_HILLS.A",2005-03-27,43,78,8.6,233.47,NA,NA,2005,86
"LOST_HILLS.A",2005-03-28,45,64,2.78,236.25,NA,NA,2005,87
"LOST_HILLS.A",2005-03-29,40,65,2.81,239.06,NA,NA,2005,88
"LOST_HILLS.A",2005-03-30,44,65,3.1,242.15,NA,NA,2005,89
"LOST_HILLS.A",2005-03-31,39,76,7.19,249.34,NA,NA,2005,90
"LOST_HILLS.A",2005-04-01,40,79,8.62,257.97,NA,NA,2005,91
"LOST_HILLS.A",2005-04-02,47,79,9.74,267.71,NA,NA,2005,92
"LOST_HILLS.A",2005-04-03,43,67,3.82,271.53,NA,NA,2005,93
"LOST_HILLS.A",2005-04-04,44,64,2.7,274.23,NA,NA,2005,94
"LOST_HILLS.A",2005-04-05,41,72,5.71,279.94,NA,NA,2005,95
"LOST_HILLS.A",2005-04-06,46,83,11.43,291.37,NA,NA,2005,96
"LOST_HILLS.A",2005-04-07,44,62,1.94,293.31,NA,NA,2005,97
"LOST_HILLS.A",2005-04-08,39,62,1.69,295,NA,NA,2005,98
"LOST_HILLS.A",2005-04-09,45,60,1.27,296.27,NA,NA,2005,99
"LOST_HILLS.A",2005-04-10,42,70,4.97,301.24,NA,NA,2005,100
"LOST_HILLS.A",2005-04-11,46,74,7.24,308.48,NA,NA,2005,101
"LOST_HILLS.A",2005-04-12,46,73,6.79,315.27,NA,NA,2005,102
"LOST_HILLS.A",2005-04-13,44,64,2.7,317.97,NA,NA,2005,103
"LOST_HILLS.A",2005-04-14,35,66,2.89,320.86,NA,NA,2005,104
"LOST_HILLS.A",2005-04-15,40,73,6.02,326.89,NA,NA,2005,105
"LOST_HILLS.A",2005-04-16,45,82,10.77,337.66,NA,NA,2005,106
"LOST_HILLS.A",2005-04-17,52,80,11.42,349.08,NA,NA,2005,107
"LOST_HILLS.A",2005-04-18,48,71,6.19,355.28,NA,NA,2005,108
"LOST_HILLS.A",2005-04-19,41,71,5.29,360.56,NA,NA,2005,109
"LOST_HILLS.A",2005-04-20,42,73,6.25,366.81,NA,NA,2005,110
"LOST_HILLS.A",2005-04-21,46,78,9.09,375.9,NA,NA,2005,111
"LOST_HILLS.A",2005-04-22,49,75,8.25,384.15,NA,NA,2005,112
"LOST_HILLS.A",2005-04-23,41,77,7.87,392.02,"2","2",2005,113
"LOST_HILLS.A",2005-04-24,51,70,6.3,398.32,NA,NA,2005,114
